mkt,ticker,previous_close,open,high,low,close,direction,change,,,volume,,,,,
Reg,GSPM,2.7,2.61,3.15,2.61,2.7,#ERROR!,0,25,20646,55778.78,,,,,
Reg,GTYR,41.72,41.97,42.35,41.51,41.92,+,0.2,79,79638,3338298.72,,,,,
Reg,GUSM,2.7,2.32,2.55,2.32,2.55,-,-0.15,2,501,1277.32,,,,,
Reg,GVGL,40.84,40.08,40.2,40,40.2,-,-0.64,18,7026,281806.68,,,,,
Reg,GWLC,30.01,30.1,30.5,30,30,-,-0.01,97,123815,3752572.38,,,,,
Reg,HABSM,65.44,64,65.49,63.9,63.9,-,-1.54,29,1038,66417.4,,,,,
Reg,HAEL,12.43,12.6,13.55,12.6,13.2,+,0.77,176,198579,2591835.77,,,,,
Reg,HALEON,281.23,275.01,283,275.01,282,+,0.77,7,1206,339290,,,,,
Reg,HASCOL,6.03,6.1,6.15,6.04,6.07,+,0.04,331,1007263,6134188.95,,,,,
Reg,HBL,126.31,126.95,126.95,124.5,124.5,-,-1.81,635,672987,84646145.47,,,,,
FUT,HBL-JUL,129,128.5,128.65,127,127,-,-2,87,358500,45554680,,,,,
FUT,HBL-JUNB,126.62,126.25,126.89,125.01,125.26,-,-1.36,52,310500,38943375,,,,,
Reg,HBLTETF,101.45,0,0,0,0,#ERROR!,0,2,535000,51360000,,,,,
Reg,HCAR,286.31,288.4,294.9,288.4,290.25,+,3.94,662,151303,44075755.96,,,,,
Reg,HCL,421.88,422,433.99,415,416,-,-5.88,16,217,90348.09,,,,,
Reg,HGFA,6.27,6.95,6.95,6.66,6.79,+,0.52,46,371613,2492303.03,,,,,
Reg,HIFA,2.53,2.76,2.89,2.7,2.79,+,0.26,41,59661,163901.83,,,,,
Reg,HINO,301.29,303,303,290,295.99,-,-5.3,32,1709,505461.06,,,,,
Reg,HINOON,710.22,717.8,717.8,711,711,+,0.78,16,49,34962.59,,,,,
Reg,HIRAT,2.67,2.6,2.77,2.6,2.65,-,-0.02,171,88690,241871.4,,,,,
Reg,HMB,68.03,68.8,69,68,68,-,-0.03,38,62883,4276897.15,,,,,
Reg,HPL,1600,1600,1600,1600,1600,#ERROR!,0,3,280,448000,,,,,
Reg,HSPI,10.4,10.59,11.25,10.5,11,+,0.6,34,14094,154135.44,,,,,
Reg,HTL,35.69,35.7,36.65,35.7,36,+,0.31,717,1278275,46380416.04,,,,,
Reg,HUBC,163.94,164,169.7,163,167.5,+,3.56,5721,7117283,1195505637,,,,,
FUT,HUBC-JULB,166.75,166,172.48,166,170,+,3.25,678,1040000,177413510,,,,,
FUT,HUBC-JUNB,164.45,164,170,163.35,167.6,+,3.15,487,931500,156411900,,,,,
Reg,HUMNL,10.79,10.81,11.08,10.76,10.82,+,0.03,1447,14139876,154556342,,,,,
FUT,HUMNL-JUL,10.96,11,11.3,11,11,+,0.04,256,1065000,11852060,,,,,
FUT,HUMNL-JUN,10.82,10.9,11.1,10.8,10.9,+,0.08,432,2013000,22083265,,,,,
Reg,HWQS,8.54,8.45,8.8,8.45,8.53,-,-0.01,4,1223,10409.13,,,,,
Reg,IBLHL,31.64,31.9,32.5,31.5,31.5,-,-0.14,42,44972,1439719.78,,,,,
Reg,ICCI,6.62,7.2,7.62,6.61,7.62,+,1,86,299996,2130753.91,,,,,
Reg,ICIBL,1.44,1.55,1.55,1.42,1.49,+,0.05,6,1196,1710.17,,,,,
Reg,ICL,45,45,45.89,44.25,45.8,+,0.8,31,22426,1013602.82,,,,,
Reg,IDYM,122.79,120.6,124.95,120.5,121.1,-,-1.69,15,10971,1357297.45,,,,,
Reg,IGIHL,123.39,123.01,123.2,123,123.05,-,-0.34,8,38351,4713549.91,,,,,
Reg,ILP,71.48,71.83,72.7,70.5,71.38,-,-0.1,1518,1468023,104823690.4,,,,,
FUT,ILP-JUL,72.63,72.5,73.35,71.8,72.5,-,-0.13,49,63500,4611990,,,,,
FUT,ILP-JUN,71.84,71.05,73.74,70.5,71.5,-,-0.34,53,46000,3294755,,,,,
Reg,IMAGE,13.06,13.09,13.2,13.03,13.05,-,-0.01,47,50485,663476.19,,,,,
Reg,INDU,1589,1590,1590,1581.05,1589,#ERROR!,0,21,89,141165.97,,,,,
Reg,INIL,191.05,192,194.5,190.02,193.15,+,2.1,327,195665,37863776.63,,,,,
FUT,INIL-JUL,195,195.55,197.55,195.55,197,+,2,244,251000,49509995,,,,,
FUT,INIL-JUN,191.37,193,194.9,193,193.66,+,2.29,273,271500,52766880,,,,,
Reg,IPAK,24.21,24.2,24.2,24.1,24.1,-,-0.11,15,7578,182849.65,,,,,
Reg,ISIL,1388.94,1400,1400,1350,1398,+,9.06,7,19,25947.41,,,,,
Reg,ISL,84.93,85,87,85,86,+,1.07,531,774645,66839889.66,,,,,
FUT,ISL-JUL,86,87,88.32,87,87.85,+,1.85,106,216500,19005300,,,,,
FUT,ISL-JUN,85.1,86.49,87.95,85.99,86.5,+,1.4,73,48500,4196450,,,,,
Reg,ITTEFAQ,6.03,6.1,6.15,6.01,6.05,+,0.02,67,214960,1300504.01,,,,,
Reg,JDMT,62.57,63.48,63.48,63.48,63.48,+,0.91,1,1,63.48,,,,,
Reg,JDWS,481.22,500,500,493.86,493.86,+,12.64,5,196,97389.68,,,,,
Reg,JGICL,46,45.98,45.98,45.5,45.5,-,-0.5,4,626,28724.48,,,,,
Reg,JLICL,128.05,128.01,128.01,128,128,-,-0.05,2,1000,128001,,,,,
Reg,JSBL,9.25,9.38,9.38,9.19,9.2,-,-0.05,14,91100,838128,,,,,
FUT,JSBL-JUL,9.27,9.37,9.37,9.37,9.37,+,0.1,1,500,4685,,,,,
FUT,JSBL-JUN,9.39,9.23,9.23,9.2,9.2,-,-0.19,2,20500,188615,,,,,
Reg,JSCL,18.22,18.58,18.6,17.85,17.9,-,-0.32,43,137550,2481517.6,,,,,
Reg,JSCLPSA,7.67,7.06,7.06,7.06,7.06,-,-0.61,2,3680,25954,,,,,
Reg,JSGBETF,18.75,18.77,18.77,18.77,18.77,+,0.02,1,500,9385,,,,,
Reg,JSGCL,194.33,211.82,211.82,200,200,+,5.67,3,16,3211.82,,,,,
Reg,JSIL,16,16,16,16,16,#ERROR!,0,8,7200,115240,,,,,
Reg,JSMFETF,19.26,19.56,19.56,19.45,19.45,+,0.19,4,15000,292550,,,,,
Reg,JUBS,12.11,12.62,12.7,12.62,12.7,+,0.59,2,202,2549.4,,,,,
Reg,JVDC,35.39,35.2,35.25,35.2,35.22,-,-0.17,3,1500,52835,,,,,
Reg,KAPCO,32.75,32.75,32.99,32.61,32.8,+,0.05,211,806684,26419782.34,,,,,
